"Read more...", "Weiterlesen..."
"Accept all", "Alle akzeptieren"
"Accept selected", "Auswahl akzeptieren"
"More Information", "Weitere Informationen"
"Marketing", "Marketing"
"Essential", "Essenziell"
"Cookie Lifetime (in days)","Cookie Lebensdauer (in Tagen)"
"The Lifetime of the cookie that will be set for saving the visitors settings.","Die Lebensdauer des Cookies, das zum Speichern der Einstellungen des Besuchers gesetzt wird."
"Title","Titel"
"Title of the Cookie Notice","Titel der Cookie Notice"
"Message","Nachricht"
"Message of the Cookie Notice","Nachricht der Cookie Notice"
"Information - \'Essential\'","Informationen - \'Essenziell\'"
"Explanation of 'Essential' Visitor/Cookie data","Erklärung zu den \'Essenziell\' Besucher-/Cookie-Daten"
"Information - 'Marketing'","Informationen - \'Marketing\'"
"Explanation of 'Marketing' Visitor/Cookie data","Erklärung zu den \'Marketing\' Besucher-/Cookie-Daten"
